Boarding Stop,Alighting Stop,Hour,Total
62039,84489,9,1
62039,84489,16,1
62039,84621,17,1
62049,,8,1
62049,,13,1
62049,70299,12,1
62049,71131,11,2
62049,71131,19,1
62049,71151,8,1
62049,71151,14,1
62049,72061,20,1
62049,72071,10,1
62049,75009,9,2
62049,75009,10,2
62049,75009,13,2
62049,75341,12,1
62049,75341,13,2
62049,75341,19,1
62049,84471,14,1
62049,84471,15,2
62049,84471,16,1
62049,84499,11,3
62049,84631,17,1
62059,,8,1
62059,,14,1
62059,62039,9,2
62059,70269,7,2
62059,70269,13,1
62059,70279,9,1
62059,70279,12,2
62059,70289,16,1
62059,70299,8,1
62059,70299,11,1
62059,70299,16,1
62059,71131,8,2
62059,71131,10,1
62059,71131,11,1
62059,71131,12,4
62059,71131,17,1
62059,71141,8,2
62059,71161,14,1
62059,72021,9,1
62059,72061,6,1
62059,72061,19,4
62059,72071,12,1
62059,75009,11,2
62059,75009,12,1
62059,75009,13,1
62059,75009,14,4
62059,75009,17,2
62059,75009,20,1
62059,75061,7,1
62059,75341,11,1
62059,75341,16,1
62059,76119,7,1
62059,76129,13,1
62059,76129,15,1
62059,76289,8,2
62059,76289,11,1
62059,84461,9,1
62059,84471,7,1
62059,84471,11,1
62059,84471,12,1
62059,84471,20,4
62059,84499,6,1
62059,84499,12,1
62059,84499,13,1
62059,84499,15,2
62059,84499,19,4
62059,84631,12,1
62141,62039,20,1
62141,62059,11,1
62141,70279,14,1
62141,70279,17,2
62141,70289,8,1
62141,70299,6,1
62141,71091,18,1
62141,71131,6,1
62141,72061,13,1
62141,75009,13,3
62141,75009,20,2
62141,75341,13,1
62141,76129,15,1
62141,76289,20,1
62141,84489,16,1
62141,84499,15,1
66031,,6,1
66031,,12,1
66031,,13,1
66031,,15,1
66031,,18,1
66031,62049,10,1
66031,62049,12,1
66031,62059,11,1
66031,62141,11,1
66031,62141,12,1
66031,62141,15,1
66031,66359,6,1
66031,66359,8,2
66031,66359,10,2
66031,66359,17,5
66031,66359,18,1
66031,66359,20,1
66031,66379,7,1
66031,66379,8,2
66031,66379,16,1
66031,70279,18,2
66031,71131,16,1
66031,71141,10,1
66031,71141,17,2
66031,72061,9,1
66031,75341,9,1
66031,75341,12,3
66031,75341,16,1
66031,76119,19,1
66031,76289,7,1
66031,84471,15,1
66031,84499,11,2
66031,84499,18,1
66041,62029,7,1
66041,62049,10,1
66041,62059,17,1
66041,62141,11,2
66041,62141,13,1
66041,62141,15,1
66041,66359,7,4
66041,66359,8,1
66041,66359,9,4
66041,66359,10,4
66041,66359,12,8
66041,66359,13,7
66041,66359,14,1
66041,66359,15,7
66041,66359,16,5
66041,66359,17,1
66041,66359,18,8
66041,66359,19,6
66041,66379,8,1
66041,66379,12,2
66041,66379,13,1
66041,66379,14,1
66041,70299,10,1
66041,70299,15,1
66041,71131,6,1
66041,71161,14,1
66041,72021,15,2
66041,72061,7,1
66041,72071,12,2
66041,75009,8,1
66041,75009,13,3
66041,75009,15,1
66041,75009,20,1
66041,75341,19,2
66041,76289,8,1
66041,84499,6,1
66051,,9,1
66051,,12,2
66051,,19,1
66051,62039,8,1
66051,62049,8,1
66051,62049,10,1
66051,62059,8,2
66051,62141,12,4
66051,66359,6,4
66051,66359,7,10
66051,66359,8,4
66051,66359,9,15
66051,66359,10,11
66051,66359,11,10
66051,66359,12,22
66051,66359,13,10
66051,66359,14,10
66051,66359,15,11
66051,66359,16,6
66051,66359,17,8
66051,66359,18,3
66051,66359,19,3
66051,66359,20,6
66051,66379,8,1
66051,66379,9,1
66051,66379,15,1
66051,66379,19,1
66051,70279,14,1
66051,70279,18,1
66051,70299,13,1
66051,70309,11,1
66051,71091,6,1
66051,71131,7,1
66051,71131,8,1
66051,71141,10,1
66051,71141,19,1
66051,71161,11,1
66051,72021,8,1
66051,72061,6,1
66051,72061,19,1
66051,72071,12,1
66051,75009,8,1
66051,75009,9,1
66051,75009,11,1
66051,75009,12,1
66051,75009,16,2
66051,75009,17,1
66051,75341,11,1
66051,76119,12,1
66051,76129,6,2
66051,76129,7,1
66051,76129,8,1
66051,76289,6,1
66051,76289,8,1
66051,76289,14,1
66051,84471,6,1
66051,84471,18,2
66051,84471,19,1
66051,84489,19,1
66051,84499,7,2
66051,84601,17,1
66091,,14,1
66091,62039,9,1
66091,62039,11,1
66091,62141,6,1
66091,62141,7,1
66091,62141,8,1
66091,66359,6,1
66091,66359,7,2
66091,66359,8,1
66091,66359,9,2
66091,66359,10,3
66091,66359,13,5
66091,66359,14,1
66091,66359,15,1
66091,66359,16,1
66091,66359,18,11
66091,66359,19,3
66091,66379,7,2
66091,66379,11,1
66091,70309,10,1
66091,75009,7,1
66091,75341,8,1
66359,,8,1
66359,,12,1
66359,,13,2
66359,,15,2
66359,,16,1
66359,,17,1
66359,,18,6
66359,,20,1
66359,62019,13,2
66359,62019,20,2
66359,62029,11,2
66359,62029,13,1
66359,62029,14,1
66359,62029,15,3
66359,62039,12,6
66359,62039,13,1
66359,62039,14,1
66359,62039,15,1
66359,62039,16,1
66359,62039,17,3
66359,62039,18,3
66359,62039,19,1
66359,62039,20,1
66359,62049,9,1
66359,62049,11,2
66359,62049,13,3
66359,62049,14,7
66359,62049,15,2
66359,62049,16,3
66359,62049,18,1
66359,62049,19,1
66359,62049,20,4
66359,62059,7,1
66359,62059,11,1
66359,62059,14,2
66359,62059,15,9
66359,62059,16,3
66359,62059,17,7
66359,62059,18,10
66359,62059,19,3
66359,62141,16,1
66359,62141,18,1
66359,62141,20,1
66359,70289,15,1
66359,70299,8,1
66359,70299,10,1
66359,70299,12,1
66359,70309,18,3
66359,70309,19,3
66359,70309,20,2
66359,71091,13,7
66359,71091,15,4
66359,71131,6,1
66359,71131,17,2
66359,71131,18,2
66359,71131,19,2
66359,71131,20,6
66359,71151,11,1
66359,71151,13,2
66359,71161,13,1
66359,71161,14,1
66359,71161,15,1
66359,71161,17,2
66359,71161,19,1
66359,72021,13,1
66359,72021,15,3
66359,72021,16,1
66359,72021,18,1
66359,72021,19,1
66359,72021,20,2
66359,72061,10,1
66359,72061,11,2
66359,72061,14,5
66359,72061,15,3
66359,72061,16,7
66359,72061,17,1
66359,72061,18,2
66359,72061,19,3
66359,72061,20,2
66359,72071,6,1
66359,72071,15,2
66359,72071,16,1
66359,72071,18,1
66359,72071,19,3
66359,72071,20,1
66359,75009,9,1
66359,75009,13,4
66359,75009,14,1
66359,75009,15,6
66359,75009,16,4
66359,75009,18,2
66359,75009,19,1
66359,76129,14,3
66359,76129,15,4
66359,76129,18,1
66359,76129,19,2
66359,76289,7,3
66359,76289,18,2
66359,84461,9,1
66359,84461,14,1
66359,84461,16,2
66359,84461,17,1
66359,84461,18,1
66359,84471,12,2
66359,84471,14,1
66359,84471,15,2
66359,84471,16,1
66359,84471,18,1
66359,84499,13,1
66359,84499,14,2
66359,84499,15,3
66359,84499,16,1
66359,84499,17,3
66359,84499,19,7
66359,84499,20,2
66359,84621,11,1
66359,84621,14,3
66359,84621,15,2
66359,84621,16,2
66359,84621,19,1
66379,,6,1
66379,,8,1
66379,,13,1
66379,,14,1
66379,,16,1
66379,,18,1
66379,62029,10,1
66379,62039,9,2
66379,62039,10,3
66379,62039,11,4
66379,62039,12,3
66379,62039,18,1
66379,62049,10,2
66379,62049,15,1
66379,62049,17,1
66379,62049,18,1
66379,62059,9,2
66379,62059,10,1
66379,62059,15,1
