,time,meanWaitTime,action,dispersion,headwaySD,disperion
1001,25302.0,234.24,No action,,825.651775219476,14.153340635268346
1002,25303.0,235.24,No action,,825.6779188767031,14.153340635268346
1003,25318.0,233.125,No action,,845.8704762505948,13.87950937950938
1004,25344.0,230.88888888888889,No action,,829.6258725369432,13.759766338079594
1005,25347.0,233.88888888888889,No action,,830.3984120616435,13.759766338079594
1006,25365.0,224.73076923076923,No action,,831.403830819775,14.988069673109045
1007,25407.0,232.75862068965517,No action,,807.2741621800135,14.988069673109045
1008,25435.0,244.48387096774192,No action,,812.1087529485576,14.943001443001442
1009,25436.0,245.48387096774192,No action,,812.1864537085738,14.943001443001442
1010,25442.0,234.3448275862069,No action,,810.9678233921261,14.609611742424242
1011,25447.0,239.3448275862069,No action,,811.2192160956486,14.609611742424242
1012,25448.0,247.39285714285714,No action,,811.1451267197295,14.609611742424242
1013,25451.0,250.39285714285714,No action,,810.6731309749563,14.609611742424242
1014,25460.0,259.39285714285717,No action,,806.4039093713673,15.58908587954231
1015,25465.0,264.39285714285717,No action,,802.8951876121467,15.58908587954231
1016,25474.0,264.1034482758621,No action,,798.5591328104422,15.518971224853582
1017,25476.0,266.1034482758621,No action,,798.6367116611082,15.518971224853582
1018,25480.0,266.35714285714283,No action,,797.6565231608563,15.502164502164508
1019,25508.0,275.3666666666667,No action,,795.8059704450046,14.976660219213409
1020,25526.0,287.76666666666665,No action,,760.910720173809,14.933230611196707
1021,25537.0,290.9310344827586,No action,,762.6543796452429,14.933230611196707
1022,25541.0,284.8965517241379,No action,,763.8848232075853,14.94054468738013
1023,25558.0,306.75,No action,,763.7790191085041,14.94054468738013
1024,25567.0,305.9642857142857,No action,,756.1057114424824,14.955946014769545
1025,25588.0,295.51724137931035,No action,,762.1531867612381,15.315375982042648
1026,25594.0,282.62068965517244,No action,,760.2363424009008,15.1839208410637
1027,25615.0,293.93333333333334,No action,,755.1209906320861,15.278191753601593
1028,25617.0,286.4516129032258,No action,,755.0358671008793,15.278191753601593
1029,25632.0,286.80645161290323,No action,,754.943252305327,15.036982065553495
1030,25645.0,279.76666666666665,No action,,757.8526344667222,15.44227702122439
1031,25646.0,280.76666666666665,No action,,758.0592849494697,15.44227702122439
1032,25648.0,273.7096774193548,No action,,758.7208062549099,15.44227702122439
1033,25656.0,274.13793103448273,No action,,758.8901690662565,15.822843822843822
1034,25663.0,281.13793103448273,No action,,756.8157333833116,15.861471861471864
1035,25664.0,282.13793103448273,No action,,756.6501775272267,15.861471861471864
1036,25681.0,286.35714285714283,No action,,752.8904544925588,15.571831677094837
1037,25690.0,285.2758620689655,No action,,749.6752660058156,15.675535846267554
1038,25691.0,286.2758620689655,No action,,749.6220737080563,15.675535846267554
1039,25694.0,289.2758620689655,No action,,749.7410749552048,15.675535846267554
1040,25697.0,292.2758620689655,No action,,750.9215909617225,15.438832772166105
1041,25700.0,301.64285714285717,No action,,752.5839259984626,15.632900432900438
1042,25726.0,316.82758620689657,No action,,750.7505226681168,15.625344352617079
1043,25743.0,323.1666666666667,No action,,753.007795066834,15.696969696969697
1044,25748.0,328.1666666666667,No action,,754.1297024446521,15.696969696969697
1045,25750.0,330.1666666666667,No action,,755.0637406568876,15.866362368454421
1046,25759.0,339.4642857142857,No action,,752.7886927118038,15.624737167594315
1047,25769.0,339.74074074074076,No action,,753.1992707177665,15.630650769995034
1048,25771.0,341.74074074074076,No action,,753.9357279094899,15.630650769995034
1049,25772.0,342.74074074074076,No action,,754.3409894795749,15.630650769995034
1050,25787.0,331.77777777777777,No action,,756.6115774008168,15.730859616573904
1051,25789.0,321.89285714285717,No action,,756.6894470240517,15.730859616573904
1052,25793.0,308.38461538461536,No action,,753.911891420612,15.654203323558162
1053,25822.0,319.2307692307692,No action,,747.4743264343662,15.68646138807429
1054,25830.0,315.4074074074074,No action,,749.1174145105354,15.652803337013866
1055,25853.0,319.4074074074074,No action,,753.560683748107,15.488242424242424
1056,25868.0,305.89285714285717,No action,,758.7422491603489,15.396574440052703
1057,25880.0,299.0,No action,,759.2962565168688,15.127554615926707
1058,25881.0,300.0,No action,,759.2131039183416,15.127554615926707
1059,25886.0,294.62068965517244,No action,,757.3601729231342,15.351799242424242
1060,25888.0,288.13793103448273,No action,,756.4289362341008,15.351445489376525
1061,25896.0,292.64285714285717,No action,,759.0375088834174,15.333333333333334
1062,25899.0,295.64285714285717,No action,,759.1131905802298,15.399885648942249
1063,25900.0,296.64285714285717,No action,,758.9162280258569,15.399885648942249
1064,25905.0,278.6296296296296,No action,,758.1421556605765,15.078968119860315
1065,25916.0,284.16,No action,,758.3362989711919,15.030074328187533
1066,25920.0,288.16,No action,,758.9931364334557,15.030074328187533
1067,25958.0,282.17857142857144,No action,,761.724714400901,15.1139532204171
1068,25960.0,284.17857142857144,No action,,761.7574681120655,15.1139532204171
1069,25963.0,287.17857142857144,No action,,762.1014889461624,14.907001044932082
1070,25964.0,264.44444444444446,No action,,762.5588058236709,14.688097707109113
1071,25986.0,286.44444444444446,No action,,766.0377930515745,14.621212121212123
1072,26002.0,292.14285714285717,No action,,766.7606117396741,14.719082719082719
1073,26007.0,289.07142857142856,No action,,767.2278226187577,14.404117510987739
1074,26027.0,299.85185185185185,No action,,769.158043036327,14.162149799885645
1075,26035.0,307.2692307692308,No action,,768.49594820093,14.202551834130778
1076,26045.0,297.24,No action,,772.2819940079581,14.281212121212118
1077,26053.0,293.8076923076923,No action,,776.2878676651186,14.176693404634582
1078,26059.0,286.8,No action,,758.4485160665029,14.057251481605725
1079,26063.0,290.8,No action,,761.701054214426,14.057251481605725
1080,26064.0,291.8,No action,,762.6010372441066,14.057251481605725
1081,26069.0,296.8,No action,,764.6217654577077,14.207146087743102
1082,26080.0,300.7083333333333,No action,,767.739597305862,14.216514588261802
1083,26094.0,319.95652173913044,No action,,766.3734719003878,14.167952588616796
1084,26097.0,309.5833333333333,No action,,766.1996772231215,14.167952588616796
1085,26105.0,307.8695652173913,No action,,766.3521551220826,13.68119860313169
1086,26109.0,311.8695652173913,No action,,766.2893998266322,13.68119860313169
1087,26110.0,312.8695652173913,No action,,766.4484754836332,13.68119860313169
1088,26149.0,298.9130434782609,No action,,762.5226012061262,14.890542435026422
1089,26151.0,300.9130434782609,No action,,762.5391672861216,14.890542435026422
1090,26155.0,300.6521739130435,No action,,763.5714229619647,14.833811802232855
1091,26165.0,297.9583333333333,No action,,763.6090633518139,14.820002141556907
1092,26166.0,298.9583333333333,No action,,763.5561092012771,14.820002141556907
1093,26170.0,290.92,No action,,763.0736326497283,14.820002141556907
1094,26216.0,270.7037037037037,No action,,767.4078782713696,14.654502774221083
1095,26241.0,267.5,No action,,729.014360927735,14.756397901274223
1096,26258.0,259.5151515151515,No action,,730.9290915243986,14.759509993552545
1097,26262.0,252.5,No action,,730.5230101374956,15.149601275917066
1098,26273.0,240.32258064516128,No action,,751.623273623914,15.03732057416268
1099,26280.0,241.56666666666666,No action,,754.1830714329795,14.746052069995732
1100,26304.0,265.56666666666666,No action,,760.2768626146926,14.713995074419103
1101,26305.0,266.56666666666666,No action,,760.1659829499678,14.713995074419103
1102,26307.0,268.56666666666666,No action,,760.3619001430021,14.713995074419103
1103,26311.0,267.48275862068965,No action,,761.6020430944633,15.088578088578092
1104,26329.0,277.14285714285717,No action,,767.1757900241972,15.051355661881981
1105,26333.0,281.14285714285717,No action,,766.9538050649203,15.107027724048999
1106,26351.0,271.13793103448273,No action,,768.5216089066423,15.067351964878466
1107,26376.0,296.13793103448273,No action,,778.6282780889968,15.267766634314679
1108,26380.0,300.13793103448273,No action,,778.4569087486157,15.267766634314679
1109,26393.0,290.3448275862069,No action,,825.2357483706431,15.637873395880515
1110,26398.0,290.10714285714283,No action,,824.7647381787796,15.632722989613443
1111,26403.0,295.10714285714283,No action,,823.7002231851004,15.745325596389426
1112,26405.0,297.10714285714283,No action,,823.3888230914396,15.745325596389426
