Boarding Stop,Alighting Stop,Hour,Total
410486966,410464255,12,1
410486966,4623289717,7,1
410486966,1268343846,14,1
410486966,410481815,15,1
1855320978,,9,1
1855320978,,10,1
1855320978,410483103,12,1
1855320978,410483103,13,1
1855320978,410486293,9,1
1855320978,410486293,10,1
1855320978,410486293,14,1
1855320978,1531005322,6,3
1855320978,1531005322,8,8
1855320978,1531005322,9,7
1855320978,1531005322,10,3
1855320978,1531005322,11,4
1855320978,1531005322,12,1
1855320978,1531005322,13,3
1855320978,1531005322,14,5
1855320978,1531005322,15,6
1855320978,1531005322,16,1
1855320978,1531005322,17,2
1855320978,1531005322,18,2
1855320978,1531005322,19,4
1855320978,1531005322,20,1
1855320978,410475114,9,1
1855320978,410475114,12,1
1855320978,410475114,13,1
1855320978,410475114,14,1
1855320978,410475114,15,2
1855320978,410470959,12,1
1855320978,410471030,9,1
1855320978,410471081,14,1
1855320978,410482570,14,1
1855320978,410482570,17,1
1855320978,410464255,8,2
1855320978,410464255,9,1
1855320978,-410478273,6,1
1855320978,-410478273,12,1
1855320978,4623289717,8,1
1855320978,4623289717,12,1
1855320978,4623289717,14,1
1855320978,410467553,19,1
1855320978,410467574,11,1
1855320978,410467571,7,1
1855320978,410481810,10,1
410486969,,9,1
410486969,,18,1
410486969,410482520,16,1
410486969,410482520,18,2
410486969,410483103,8,1
410486969,410483103,11,1
410486969,410483103,13,1
410486969,410486966,9,1
410486969,1855320978,10,2
410486969,410486293,7,1
410486969,410486293,9,1
410486969,1531005322,6,2
410486969,1531005322,7,2
410486969,1531005322,8,3
410486969,1531005322,9,4
410486969,1531005322,10,12
410486969,1531005322,12,7
410486969,1531005322,13,5
410486969,1531005322,14,4
410486969,1531005322,15,4
410486969,1531005322,16,6
410486969,1531005322,17,5
410486969,1531005322,18,1
410486969,1531005322,19,3
410486969,1531005322,20,3
410486969,410475114,7,1
410486969,410475114,10,1
410486969,410475114,12,1
410486969,410475114,13,1
410486969,410471081,9,3
410486969,410482551,18,1
410486969,410471005,7,1
410486969,410464255,9,1
410486969,410464255,11,1
410486969,410464255,13,2
410486969,410464255,18,2
410486969,4623289717,9,1
410486969,4623289717,11,1
410486969,4623289717,12,1
410486969,4623289717,17,1
410486969,410478271,10,1
410486969,410459494,11,1
410486969,410467562,7,1
4430976208,,8,2
4430976208,,10,1
4430976208,,18,1
4430976208,410482520,12,2
4430976208,410482520,14,1
4430976208,410483103,8,3
4430976208,410483103,10,1
4430976208,410486516,11,1
4430976208,410486516,18,1
4430976208,410486293,10,2
4430976208,410486293,13,1
