Boarding Stop,Alighting Stop,Total
71131,84489,1
71131,84499,3
71131,84621,1
71131,84631,1
71141,71091,3
71141,72021,1
71141,72071,2
71141,75009,2
71141,76119,1
71141,76289,1
71151,,1
71151,71091,1
71151,71131,6
71151,72061,2
71151,72071,1
71151,75009,3
71151,76119,1
71151,76129,2
71151,76289,1
71151,84471,1
71151,84499,2
71161,,5
71161,71091,1
71161,71131,4
71161,72021,1
71161,72061,3
71161,72071,5
71161,75009,4
71161,75341,1
71161,76129,9
71161,76289,1
71161,84471,5
71161,84489,5
71161,84499,2
72021,,4
72021,72071,1
72021,75009,20
72021,75061,1
72021,75341,3
72021,76129,2
72021,76289,3
72021,84471,22
72021,84489,4
72021,84499,7
72021,84621,1
72061,,14
72061,75009,93
72061,75341,6
72061,76119,10
72061,76129,3
72061,76289,8
72061,84461,1
72061,84471,15
72061,84489,8
72061,84499,9
72061,84621,2
72071,,2
72071,75009,42
72071,75341,4
72071,76119,3
72071,76129,11
72071,76289,8
72071,84461,3
72071,84471,12
72071,84489,1
72071,84499,1
72071,84621,1
75061,,1
75341,,5
75341,75009,65
75341,76119,7
75341,76129,12
75341,76289,7
76119,,1
76119,75009,27
76129,,9
76129,75009,186
76289,,9
76289,75009,221
76289,76119,7
84461,,2
84461,75009,18
84461,75341,1
84461,76119,2
84461,76129,4
84461,76289,2
84461,84471,1
84471,,6
84471,75009,77
84471,75341,17
84471,76119,9
84471,76129,25
84471,76289,40
84471,84611,1
84471,84621,2
84471,84631,8
84489,75009,2
84489,76129,1
84489,76289,1
84489,84471,1
84489,84489,1
84489,84621,1
84499,,13
84499,75009,73
84499,75341,8
84499,76119,7
84499,76129,15
84499,76289,6
84499,84461,5
84499,84471,34
84499,84489,9
84499,84611,1
84499,84621,7
84499,84631,2
84601,75009,7
84601,76119,1
84601,76129,2
84601,76289,2
84611,75009,2
84611,76289,3
84621,,3
84621,75009,32
84621,75341,6
84621,76119,10
84621,76129,9
84621,76289,8
84631,,1
84631,75009,28
84631,76119,5
84631,76129,6
84631,76289,9
