Boarding Stop,Alighting Stop,Total
81101,92051,3
81101,92071,1
81101,92169,1
81101,92249,1
81111,,11
81111,82079,4
81111,82089,4
81111,82099,5
81111,82119,1
81111,92041,29
81111,92051,5
81111,92061,2
81111,92071,12
81111,92081,2
81111,92169,3
81111,92249,20
81111,93021,1
81111,93031,5
81111,93041,2
81111,93139,1
81111,94011,1
81111,94021,2
81111,94031,4
81111,94041,1
81111,94051,1
82079,,1
82079,92041,12
82079,92051,1
82079,92249,11
82079,93021,1
82079,93031,1
82079,93041,1
82079,94011,2
82079,94021,2
82089,92041,20
82089,92051,1
82089,92169,2
82089,92249,1
82089,93011,2
82089,93021,1
82089,94021,1
82099,82079,3
82099,92041,47
82099,92051,3
82099,92061,2
82099,92071,5
82099,92081,1
82099,92169,7
82099,92249,17
82099,93011,1
82099,93021,1
82099,93031,2
82099,94009,1
82099,94021,2
82099,94031,2
82119,,1
82119,82079,6
82119,82089,2
82119,92041,33
82119,92051,2
82119,92061,2
82119,92071,4
82119,92081,3
82119,92169,6
82119,92249,6
82119,93011,2
82119,93021,2
82119,93031,3
82119,94011,2
82119,94021,3
82119,94031,2
82119,94041,1
82119,94061,4
92041,,8
92041,92061,5
92041,92071,15
92041,92081,4
92041,93011,8
92041,93021,30
92041,93031,31
92041,93041,8
92041,93139,12
92041,94009,5
92041,94011,6
92041,94021,9
92041,94031,22
92041,94041,9
92041,94051,7
92041,94061,2
92051,92071,1
92051,92081,4
92051,93011,3
92051,93021,4
92051,93031,4
92051,94009,1
92051,94021,3
92051,94031,3
92051,94041,3
92051,94051,13
92051,94061,1
92061,93011,2
92061,93021,4
92061,93031,3
92061,94031,3
92061,94041,4
92071,93021,3
92071,93031,1
92071,93041,1
92071,94011,1
92071,94021,3
92071,94031,1
92071,94051,1
92071,94061,1
92081,93011,1
92081,93021,1
92081,93031,4
92081,93041,1
92081,93139,2
92081,94011,1
92081,94021,2
92169,92041,9
92169,92249,8
92169,93011,1
92169,93021,3
92169,94031,2
92169,94051,1
92249,92041,15
92249,92051,1
92249,92061,4
92249,92071,2
92249,92249,2
92249,93011,1
92249,93021,1
92249,93041,2
92249,94021,1
92249,94031,3
93011,93031,1
93011,93041,1
93011,94021,2
93011,94031,2
93021,93041,1
93021,94031,1
93031,,1
93031,93139,1
93031,94011,1
93041,94009,1
93041,94021,1
93041,94031,1
93041,94041,1
93041,94051,1
93041,94061,1
93139,94009,1
94021,94009,1
94031,94041,1
